Code,Neighborhood,Municipality,Population,Area,Population Density,18-29,30-44,45-64,65+,Unemployment Rate,Not In Good Health,Health Index
103,Bosvoorde Centrum,Watermaal-Bosvoorde,6068,1.63425,3713.05,15.59,18.59,28.59,15.69,11.92,19.93,0.82
104,Watermaal Centrum,Watermaal-Bosvoorde - Oudergem,10657,1.72824,6166.39,13.59,19.92,25,23.7,11.34,23.92,0.8
105,Dries,Watermaal-Bosvoorde - Elsene - Brussel,6331,1.03489,6117.61,12.64,18.45,26.01,20.36,13.55,24.18,0.89
106,Boondaal,Elsene - Brussel,11210,1.45737,7691.9,17.41,21.95,23.51,19.7,14.19,24.99,0.85
107,Universiteitswijk,Elsene,11646,1.24615,9345.51,33.7,25.98,17.54,10.4,19.55,23.1,0.94
108,Montjoie - Langeveld,Ukkel,5433,1.11905,4855.03,15.15,19.03,26.08,20.03,11.05,17.76,0.65
109,Observatorium,Ukkel,6423,1.98723,3232.14,13.25,16.19,26.55,24.01,9.91,18.34,0.63
110,Fort Jaco,Ukkel - Brussel,3136,1.28648,2437.66,14.86,17.22,26.79,20.76,10.49,19.37,0.74
111,Diesdelle,Ukkel,3200,2.50549,1277.2,14.16,13,27.44,25.22,6.35,14.15,0.56
112,Kriekenput - Homborch - Verrewinkel,Ukkel,4541,1.90247,2386.92,15.59,14.27,29.07,17.73,19.84,24.92,0.96
113,Sint-Job Kauwberg,Ukkel,5732,2.17559,2634.7,14.48,19.35,26.8,17.17,11.52,18.76,0.73
114,Dieweg,Ukkel,6652,1.19523,5565.47,12.39,18.21,26.86,19.09,11.04,19.36,0.76
115,Kalevoet - Moensberg,Ukkel,11513,2.08904,5511.16,14.67,19.67,25.46,17.6,14.63,27.59,1.05
116,Globe,Ukkel,15733,1.4571,10797.48,16.57,23.3,24.73,15.69,15.76,23.64,0.91
117,Vossegat - Roosendaal,Ukkel - Vorst,7961,1.01103,7874.13,12.79,19.28,24.26,23.92,14.57,28.04,0.87
118,Sint-Denijs - Neerstalle,Vorst,8427,0.80901,10416.45,16.45,22.57,24.49,11.53,24.92,31.59,1.3
700,Kerkhof Brussel,Evere,26,0.49063,52.99,ND,ND,ND,ND,ND,ND,ND
701,Kerkhof Elsene,Elsene,1,0.11471,VS,ND,ND,ND,ND,ND,ND,ND
702,Kerkhof Sint-Gillis,Ukkel,1,0.23825,VS,ND,ND,ND,ND,ND,ND,ND
800,Industrie Noord,Brussel - Evere,1691,6.66068,253.88,ND,ND,ND,ND,ND,ND,ND
801,Industrie NATO,Brussel - Evere,539,2.44172,220.75,ND,ND,ND,ND,ND,ND,ND
802,Delta,Oudergem,0,0.25536,VS,ND,ND,ND,ND,ND,ND,ND
803,Industrie Zuid,Anderlecht - Vorst,1360,3.89082,349.54,ND,ND,ND,ND,ND,ND,ND
804,Zuidstation,Sint-Gillis,31,0.24222,127.98,ND,ND,ND,ND,ND,ND,ND
805,Industrie Birmingham,Anderlecht,341,0.25362,1344.52,ND,ND,ND,ND,ND,ND,ND
900,Koninklijk Domein Laken,Brussel,30,2.79022,10.75,ND,ND,ND,ND,ND,ND,ND
901,Josaphatpark,Schaarbeek,11,0.38225,VS,ND,ND,ND,ND,ND,ND,ND
902,Kruidtuin,Sint-Joost-ten-Node,0,0.07049,VS,ND,ND,ND,ND,ND,ND,ND
903,Jubelpark,Brussel - Etterbeek,19,0.38403,VS,ND,ND,ND,ND,ND,ND,ND
904,Léopoldpark,Brussel,142,0.11196,1268.31,ND,ND,ND,ND,ND,ND,ND
905,Park van Woluwe,Sint-Pieters-Woluwe - Oudergem,126,1.35568,92.94,ND,ND,ND,ND,ND,ND,ND
906,Zonienwoud,Sint-Pieters-Woluwe - Oudergem - Watermaal-Bosvoorde - Ukkel,99,17.87522,5.54,ND,ND,ND,ND,ND,ND,ND
907,Ter Kamerenbos,Brussel,1,1.25297,VS,ND,ND,ND,ND,ND,ND,ND
908,Wolvendaelpark,Ukkel,0,0.15618,VS,ND,ND,ND,ND,ND,ND,ND
909,Dudenpark - Park van Vorst,Vorst,503,0.48653,1033.86,ND,ND,ND,ND,ND,ND,ND
910,Vijverspark,Anderlecht,0,0.07544,VS,ND,ND,ND,ND,ND,ND,ND
911,Astridpark,Anderlecht,2,0.16494,VS,ND,ND,ND,ND,ND,ND,ND
912,Bospark,Anderlecht,0,0.04665,VS,ND,ND,ND,ND,ND,ND,ND
913,Marie-Josepark,Sint-Jans-Molenbeek,0,0.07855,VS,ND,ND,ND,ND,ND,ND,ND
914,Scheutbos,Sint-Jans-Molenbeek,89,0.45655,194.95,ND,ND,ND,ND,ND,ND,ND
915,Elisabethpark,Ganshoren - Koekelberg,2,0.23283,VS,ND,ND,ND,ND,ND,ND,ND
916,Laarbeekbos - Poelbos,Ganshoren - Jette,20,1.15277,17.35,ND,ND,ND,ND,ND,ND,ND
917,Boudewijnpark - Dielegembos,Jette,92,0.47429,194.01,ND,ND,ND,ND,ND,ND,ND
